Season Number,Episode Number,Pitch Number,Startup Name,Industry,Business Description,Pitchers Gender,Entrepreneur Names,Company Website,Original Ask Amount,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal,Investment Amount Per Shark,Equity Per Shark,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
1,8,36,Notehall,Software/Tech,Notehall - Online Services,Male,D.J. Stephan_ Sean Conway,http://www.notehall.com,90000,900000,1,90000,25,360000,1,90000,25,90000,25,,,,,,,,,,,,,,1,0,0,1,1,1
1,8,37,Throx,Fashion/Beauty,Throx - Undergarments and Basics,Male,Edwin Heaven,http://www.throx.com,50000,200000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,8,38,WashedUpHollywood,Fashion/Beauty,Washed Up Hollywood - Fashion Accessories,Male,Danon Beres,,500000,2000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,9,39,GaylaBentleyFashion,Fashion/Beauty,Gayla Bentley Fashion - Women's Apparel,Female,Gayla Bentley,http://www.gaylabentley.com/,250000,1250000,1,250000,50,500000,2,125000,25,125000,25,,,,,,,125000,25,,,,,,1,0,0,1,1,1
1,9,40,ChillSoda,Food and Beverage,Chill Soda - Non-Alcoholic Beverages,Male,Dan Mackey,http://www.chillsoda.com/,50000,500000,1,50000,20,250000,1,50000,20,50000,20,,,,,,,,,,,,,,1,0,0,1,1,1
1,9,41,CornucopiaExpress,Pet Products,Cornucopia Express - Pet Products,Male,Geoffrey Broderick_ Kristina Broderick,http://www.cornucopiapetfoods.com/,300000,2000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,9,42,VirtuSphere,Electronics,Virtusphere - Electronics,Male,Ray Latypov_ Jim Dimascio,http://www.virtusphere.com/,1500000,15000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,10,43,TheUROClub,Fitness/Sports/Outdoors,The UROClub - Golf Products,Male,Floyd Seskin,http://www.uroclub.com/,25000,49020,1,25000,70,35714,1,25000,70,,,,,,,,,,,,,25000,70,Kevin Harrington,1,0,0,1,1,1
1,10,44,JumpForward,Children/Education,Jump Forward - Online Services,Male,Brian Duggan_ Adam McCombs,http://www.jumpforward.com/,150000,1500000,1,600000,50,1200000,2,300000,25,,,,,,,300000,25,,,300000,25,,,,1,0,0,1,1,1
1,10,45,TheBobblePlace,Children/Education,The Bobble Place - Toys and Games,Male,Jeff Wolsky,http://www.webobble.com/,75000,416667,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,10,46,Mr.Poncho,Electronics,Mr. Poncho - Electronics,Mixed Team,Hyun_ Roman Pietrs,,50000,200000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,11,47,HellsBellsHelmets,Fitness/Sports/Outdoors,Hells Bells Helmets - Outdoor Recreation,Mixed Team,Marix Stone_ Nancy Tanchel,http://www.hellsbellscustoms.com/,500000,2500000,1,500000,50,1000000,1,500000,50,,,,,,,,,500000,50,,,,,,1,0,0,1,1,1
1,11,48,ChefInBlack,Food and Beverage,Chef In Black - Specialty Food,Female,Dorene Humason,http://chefinblack.com/,50000,500000,1,50000,40,125000,1,50000,40,50000,40,,,,,,,,,,,,,,1,0,0,1,1,1
1,11,49,InkFlip,Electronics,Ink Flip - Electronics,Male,Sperry,http://www.inkflip.com/,150000,750000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,11,50,RompN'Roll,Children/Education,Romp n' Roll - Baby and Children's Entertainment,Mixed Team,Michael_ Babz Barnett,http://www.rompnroll.com/,300000,3000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,11,51,TheTwister,Fitness/Sports/Outdoors,The Twister - Golf Products,Male,Alfonzo Dowe_ Sr.,,85000,212500,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,12,52,GreaseMonkeyWipes,Lifestyle/Home,Grease Monkey Wipes - Outdoor Recreation,Mixed Team,Tim Stansbury_ Erin Whalen,http://www.greasemonkeywipes.com/,40000,100000,1,40000,40,100000,2,20000,20,20000,20,,,,,20000,20,,,,,,,,1,0,0,1,1,1
1,12,53,WeeCanShop,Children/Education,Wee Can Shop - Baby and Children's Entertainment,Mixed Team,Kimberly_ Matthew Foley,,200000,666667,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,12,54,Podillow,Lifestyle/Home,The Podillow - Novelties,Mixed Team,Anthony_ Tina Calvert,http://www.podillow.com/,250000,757576,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,12,55,TheFactionist,Fashion/Beauty,The Factionist - Men and Women's Apparel,Male,Nate Berkopec,,30000,150000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,13,56,Caffeindicator,Food and Beverage,Caffeindicator - Novelties,Male,Michael Schiavone,http://www.llamabrew.com/,200000,800000,1,200000,50,400000,1,200000,50,,,,,,,,,,,,,200000,50,Kevin Harrington,1,0,0,1,1,1
1,13,57,LipstickRemix,Fashion/Beauty,Lipstick Remix - Personal Care and Cosmetics,Female,Jill Quilln,http://www.lipstixremix.com/,105000,350000,1,105000,50,210000,2,52500,25,52500,25,,,,,,,52500,25,,,,,,1,0,0,1,1,1
1,13,58,LegalGrind,Business Services,Legal Grind - Professional Services,Mixed Team,Jeff_ Annie Hughes,http://www.legalgrind.com/,200000,1333333,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,13,59,CaptainIceCream,Food and Beverage,Captain Ice Cream - Specialty Food,Male,Tim Gavern,,48000,192000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,14,60,Nubrella,Fashion/Beauty,Nubrella - Novelties,Male,Alan Kaufman,http://nubrella.com/,200000,800000,1,200000,51,392157,1,200000,51,,,,,,,,,200000,51,,,,,,1,0,0,1,1,1
1,14,61,Qubits,Children/Education,Qubits - Toys and Games,Male,Mark Burginger,http://www.qubitstoy.com/,90000,176471,1,90000,51,176471,1,90000,51,,,,,,,,,90000,51,,,,,,1,0,0,1,1,1
1,14,62,SendABall,Children/Education,Send A Ball - Novelties,Female,Michele Kapustka_ Melisa Moroko,http://www.sendaball.com/,86000,430000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,14,63,PillarsOfSlippers,Fashion/Beauty,Pillars of Slippers - Women's Shoes,Female,Nicole Jones,,150000,1000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,14,64,LlamaBrew,Green/CleanTech,Llama Brew - Gardening,Mixed Team,Aida_ Phil Lough,,125000,1250000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,1,65,WurkinStiffs,Fashion/Beauty,Wurkin Stiffs - Men's Accessories,Male,Jonathan Boos,http://wurkinstiffs.com/,85000,850000,1,100000,40,250000,2,50000,20,50000,20,,,,,,,50000,20,,,,,,1,1,0,1,1,1
2,1,66,TippiToes,Fitness/Sports/Outdoors,Tippi Toes - Baby and Children's Entertainment,Female,Megan Reilly_ Sarah Nuse,http://www.tippitoesdance.com/,30000,600000,1,100000,30,333333,2,50000,15,50000,15,50000,15,,,,,,,,,,,,1,1,0,1,1,1
2,1,67,CBSFoods,Food and Beverage,CBS Foods - Specialty Food,Male,Shawn Davis,,200000,800000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
2,1,68,CopadiVino,Food and Beverage,Copa di Vino - Alcoholic Beverages,Male,James Martin,http://www.copadivino.com/,300000,6000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
2,2,69,Toygaroo,Children/Education,Toygaroo - Toys and Games,Female,Nikki Pope,,100000,1000000,1,200000,35,571429,2,100000,17.5,,,100000,17.5,,,,,,,100000,17.5,,,,1,1,0,1,1,1
2,2,70,FirstDefenseNasalScreen,Health/Wellness,First Defense Nasal Screen - Health and Well-Being,Male,Joe Moore,http://www.filteryourlife.com/,500000,5000000,1,750000,30,2500000,3,250000,10,,,250000,10,,,250000,10,250000,10,,,,,,1,1,0,1,1,1
2,2,71,Vurtego,Fitness/Sports/Outdoors,Vurtego - Toys and Games,Male,Brian Spencer,http://www.vurtegopogo.com/,500000,2500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
2,2,72,Waken'Bacon,Food and Beverage,Wake n' Bacon - Novelties,Male,Matty Sallin,http://www.fitnessstride.com,40000,200000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
2,3,73,ModMomFurniture,Lifestyle/Home,Mod Mom Furniture - Furniture,Female,Kiersten Hathcock,http://www.modmomfurniture.com/,90000,360000,1,90000,33,272727,1,90000,33,,,,,,,90000,33,,,,,,,,1,0,0,1,1,1
2,3,74,Flipoutz,Fashion/Beauty,Flipoutz - Toys and Games coins,Mixed Team,Jake_ Lachl___ Erin Johnson,http://www.flipoutz.com/,100000,500000,1,100000,25,400000,1,100000,25,,,,,,,,,100000,25,,,,,,1,0,0,1,1,1
2,3,75,FitnessStride,Fitness/Sports/Outdoors,Fitness Stride - Fitness Apparel and Accessories,Male,Stacy Erwin,,140000,933333,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,3,76,PureAyre,Lifestyle/Home,Pure Ayre - Storage and Cleaning Products,Male,James Mitchell,http://www.pureayre.com/,150000,1500000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,4,77,BroccoliWad,Food and Beverage,Broccoli Wad - Novelties,Male,Johnny Gennaro & Vinny Pastore,http://amzn.to/1AcWx1t,50000,250000,1,50000,40,125000,1,50000,40,50000,40,,,,,,,,,,,,,,1,0,0,1,1,1
2,4,78,HillbillyBrand,Fashion/Beauty,Hillbilly Brand - Men and Women's Apparel,Male,Mike Abbaticchio & Shon Lees,http://www.hillbillybrand.com/,50000,200000,1,75000,25,300000,2,37500,12.5,,,,,,,37500,12.5,37500,12.5,,,,,,1,0,0,1,1,1
2,4,79,Ride-OnCarry-On,Travel,Ride-On Carry-On - Baby and Child Care,Mixed Team,Darryl_ R_y Lenz,http://www.rideoncarryon.com/,50000,200000,1,50000,25,200000,1,50000,25,50000,25,,,,,,,,,,,,,,1,0,0,1,1,1
2,4,80,UncleZip'sBeefJerky,Food and Beverage,Uncle Zip's Beef Jerky - Specialty Food,Male,Ken Howell,http://unclezipsjerky.com/,25000,125000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
2,5,81,Lightfilm,Automotive,Lightfilm - Automotive  for car windows,Male,George Podd_ Rolf Schwartz,,100000,2000000,1,10000,70,14286,2,5000,35,,,,,,,5000,35,5000,35,,,,,,1,0,0,1,1,1
2,5,82,FridgeFronts,Lifestyle/Home,Fridge Fronts - Home Improvement,Female,Jan Augenstein,http://www.fridgefronts.com/,100000,333333,1,100000,50,200000,2,50000,25,50000,25,,,,,,,,,50000,25,,,,1,0,0,1,1,1
